Avg. Area Income;Avg. Area Number of Rooms;Avg. Area Number of Bedrooms;Area Population;Price
Dianaton;;;;
7.063.260.722.277.710;71.584.494.673.488.700;4.17;45.919.261.158.808.800;17.798.582.742.529.100
Foxview;;;;
8.605.108.730.099.990;6.196.703.573.451.240;3.26;49.475.671.206.010.000;17.548.663.954.783.200
Kimberlyville;;;;
7.263.000.940.418.930;471.106.043.058.696;3.03;4.588.887.423.106.530;11.603.978.217.300.200
Lake Jameschester;;;;
61.821.940.438.368.900;807.667.453.140.381;4.29;1.912.341.954.359.850;8.083.737.030.161.200
Anthonyfort;;;;
7.075.459.688.403.390;8.183.183.824.537.990;6.33;25.442.397.281.092.900;12.771.724.757.745.800
Hillfurt;;;;
62.840.190.473.925.200;6.002.304.868.294.860;3.33;35.658.692.679.981.200;10.261.265.838.267.600
South Patricia;;;;
5.425.947.605.222.040;5.491.746.099.982.390;4.31;2.648.216.068.283.340;46.901.624.780.787.600
Brendatown;;;;
5.606.090.043.176.480;66.695.317.061.935.600;4.26;4.246.131.544.160.220;9.625.510.371.401.920
Cookborough;;;;
8.640.189.381.222.960;5.833.799.708.787.980;3.36;387.994.323.195.174;1.385.749.141.348.650
Perrybury;;;;
7.346.677.183.361.210;7.697.665.855.552.220;6.28;4.310.801.999.028.730;16.053.985.719.999.700
Douglasside;;;;
7.081.739.831.213.250;77.443.456.103.695.100;5.08;3.359.749.764.647.350;11.962.541.180.677.300
Toddview;;;;
7.966.116.409.264.010;75.037.685.290.315.300;6.23;4.409.974.897.858.020;18.797.977.197.393.300
Kathrynmouth;;;;
6.150.659.477.477.390;670.105.938.530.292;3.13;5.396.205.632.718.300;12.717.524.319.501.100
North Ashley;;;;
7.811.442.133.363.950;8.423.978.174.277.600;6.0;4.183.104.111.734.480;18.767.464.866.277.900
Reneeland;;;;
7.377.909.307.767.100;6.502.540.831.148.200;2.46;40.935.062.457.524.800;11.095.864.111.945.200
Rivasshire;;;;
7.870.590.987.422.820;76.090.214.364.344.500;6.21;40.204.520.464.992.200;15.602.704.852.099.700
Josephstad;;;;
8.314.508.571.314.510;9.309.901.621.933.720;6.17;7.360.295.191.263.630;1.572.814.863.233.380
West Crystalfort;;;;
6.323.294.006.674;726.295.010.203.801;4.24;33.637.955.412.761.400;1.465.223.509.412.890
Dominguezfurt;;;;
7.156.001.988.900.660;5.776.343.122.126.600;4.12;40.311.276.257.842.300;10.496.722.486.072.300
North Joel;;;;
7.931.036.197.678.470;7.518.204.325.105.610;4.38;4.398.218.895.725.300;12.311.572.551.474.400
Stephaniemouth;;;;
5.629.032.129.147.610;7.112.024.107.136.900;3.21;2.764.872.339.478.350;8.548.122.579.554.290
West Brentchester;;;;
7.452.649.852.459.220;7.002.164.062.409.190;5.48;32.518.484.488.921.200;12.504.947.397.056.800
Chadborough;;;;
61.467.749.625.155.900;7.382.901.949.578.120;5.35;38.816.135.820.588.900;9.621.838.029.974.950
Lake Matthewstad;;;;
736.581.167.403.505;79.253.874.013.435.900;4.16;5.764.639.149.662.950;18.646.700.740.690.700
East Jennifer;;;;
5.674.357.797.507.900;512.912.055.199.554;4.14;23.889.156.633.570.700;577.104.814.915.664
Jonesburgh;;;;
6.358.297.606.172.720;5.872.524.435.012.370;2.16;5.207.089.637.573.910;10.161.871.036.521.700
Morrisonfort;;;;
7.835.894.844.962.030;8.102.095.935.015.840;6.19;4.059.132.522.190.590;14.929.657.334.657.500
New Heidifort;;;;
8.274.350.930.619.490;813.747.486.178.411;5.3;41.859.072.400.008.800;18.112.655.232.156.000
Lake Andrewshire;;;;
618.775.490.649.008;6.801.887.464.590.840;3.25;28.604.943.675.146.500;1.083.745.371.808.770
Lake Zacharyshire;;;;
59.963.914.040.482.900;64.427.419.237.657.700;3.23;3.917.030.805.872.590;12.929.793.648.119.600
Jacquelineton;;;;
58.099.537.119.266.900;9.148.798.840.623.190;4.41;27.063.087.808.807.300;11.555.131.752.000.000
Moorechester;;;;
7.505.475.347.233.930;6.402.843.907.337.390;4.25;37.179.350.573.852.800;12.940.695.325.034.700
"DPO AA 30892""";;;;
791.637.786.217.306;6.922.618.314.459.040;4.39;3.151.444.338.474.540;11.591.471.091.195.000
Lopezside;;;;
6.944.244.538.732.340;5.580.979.937.830.440;3.19;5.698.414.524.723.150;14.695.616.746.953.900
North Pamelaberg;;;;
761.812.075.226.123;5.313.801.865.848.130;4.27;22.850.033.757.886.100;9.887.464.205.867.310
Leslieberg;;;;
567.990.740.589.045;44.991.199.743.897.100;4.23;5.287.506.496.408.700;774.491.653.288.187
Daniellebury;;;;
52.511.654.346.246.700;6.561.220.473.951.400;3.3;24.612.987.243.149.000;3.251.959.428.324.200
South Jennifershire;;;;
8.636.278.339.799.960;67.693.257.846.340.000;4.47;3.405.012.991.892.160;14.775.959.992.480.700
Danielmouth;;;;
742.305.179.607.262;7.364.007.368.396.490;5.09;19.108.534.856.672.700;14.838.083.368.306.700
New Catherine;;;;
8.079.342.090.757.520;7.060.467.650.457.080;4.41;253.775.617.557.638;8.674.447.048.681.050
Colemantown;;;;
7.261.853.846.192.460;7.640.127.210.093.230;4.46;373.459.117.229.106;14.208.588.235.858.200
Port Marcport;;;;
48.662.299.282.522;7.195.635.470.616.510;6.46;2.900.209.609.799.900;6.809.827.688.221.950
Port Allisonshire;;;;
712.772.684.292.701;628.657.947.944.278;3.17;3.632.578.761.809.250;9.969.963.553.855.650
"DPO AP 14075""";;;;
802.856.812.476.344;5.211.933.975.691.820;3.03;4.863.382.942.715.620;14.390.285.209.890.200
"FPO AP 62750-6768""";;;;
6.268.179.809.077.370;4.125.278.089.529.120;3.01;17.454.455.217.127.300;7.969.107.111.819.300
North Brandystad;;;;
656.737.513.636.956;7.346.789.774.452.670;6.27;32.367.446.375.161.800;11.661.581.846.876.700
North Nathanielberg;;;;
6.442.686.589.423.620;895.017.903.929.667;3.31;182.143.140.499.687;10.555.486.757.761.100
"DPO AP 45943""";;;;
8.380.182.006.251.160;870.737.952.087.405;5.39;3.318.455.158.132.940;16.420.518.317.058.600
Markfort;;;;
8.763.811.565.268.230;695.377.053.618.745;2.45;341.092.442.561.318;17.342.391.383.592.000
South Anthonychester;;;;
6.917.970.040.901.890;60.834.796.697.480.400;3.25;3.632.369.445.058.070;11.935.195.083.805.900
Port Lori;;;;
7.754.089.419.180.780;6.530.857.667.156.660;2.02;216.715.141.408.259;5.557.556.567.947.510
West Brittanyberg;;;;
6.761.249.203.432.500;7.474.352.636.382.000;5.05;4.027.236.564.516.850;12.446.315.193.582.500
Christinemouth;;;;
7.318.067.337.095.080;9.118.588.644.285.940;3.33;43.144.714.927.525.400;17.680.363.340.765.300
Richardstad;;;;
7.578.634.924.381.210;5.922.408.509.220.770;3.1;3.635.235.133.038.640;10.474.525.080.813.500
Davidfort;;;;
6.829.430.752.745.940;6.457.792.318.484.750;3.5;2.177.067.355.914.430;10.383.300.389.589.400
Benjaminberg;;;;
5.768.452.668.641.190;60.532.404.078.611.000;2.16;31.033.023.111.171;895.600.423.741.341
Port Douglasville;;;;
717.018.418.033.878;7.517.091.388.606.690;6.11;27.610.387.634.852.000;13.520.182.535.033.700
East Stephanieshire;;;;
6.825.916.033.950.080;8.092.215.308.699.100;3.11;1.786.131.731.299.980;11.280.451.047.880.300
Pamelahaven;;;;
7.097.224.050.888.180;8.050.487.087.090.950;4.3;45.696.874.726.298.900;12.685.708.085.187.600
Lake Jeremy;;;;
7.130.790.298.722.470;75.082.715.847.820.700;3.42;27.619.163.088.797.400;10.615.177.094.538.800
Rileyton;;;;
8.762.694.347.526.760;7.608.873.041.284.720;3.15;3.665.446.346.483.860;1.724.733.024.817.470
Port Patrick;;;;
6.665.160.029.829.690;7.145.904.971.506.620;5.46;4.616.570.062.641.170;16.609.751.714.736.600
Nicholasmouth;;;;
6.860.004.160.479.330;8.069.702.210.761.870;3.09;39.091.218.233.614.200;1.797.621.220.436.090
Combsshire;;;;
6.784.604.865.589.230;6.103.863.334.858.240;4.15;2.744.209.615.759.830;8.795.111.964.474.780
Saraville;;;;
6.334.518.738.409.820;72.820.440.287.330.000;3.13;4.146.194.692.705.230;156.515.154.520.208
Powellport;;;;
6.626.219.252.523.730;4.923.681.152.276.590;4.23;450.552.400.999.024;11.991.284.035.644.600
Johnsonland;;;;
7.365.910.345.296.390;508.021.516.884.955;4.47;3.957.538.908.539.880;6.517.879.705.180.050
South Daleton;;;;
6.090.445.073.045.330;6.476.941.994.129.880;2.45;33.078.149.959.904.900;5.863.815.473.253.070
Leeview;;;;
63.543.588.048.641.000;55.670.484.678.827.200;3.45;44.541.646.051.674.400;1.151.741.154.590.950
Georgeville;;;;
6.758.284.413.690.660;8.013.745.403.480.500;3.04;41.529.695.404.715.300;12.790.516.694.156.600
South Olivia;;;;
54.841.764.586.819.200;5.663.657.859.743.710;2.15;31.196.478.012.785.500;585.531.238.099.097
Eddieville;;;;
6.965.736.279.068.020;5.368.804.360.142.360;3.08;29.973.093.564.753.200;8.842.272.098.749.410
Davisview;;;;
6.636.975.098.183.090;73.990.664.887.847.400;6.41;18.683.535.055.092.500;7.966.661.224.321.830
Bradhaven;;;;
6.878.585.473.646.590;9.507.527.474.003.180;4.11;4.063.494.902.110.480;16.248.421.237.797.800
Lake Brittanyside;;;;
61.306.118.125.880.900;6.181.664.333.611.370;2.05;3.725.271.999.989.300;15.599.971.510.714.700
"DPO AE 48373-6897""";;;;
54.850.741.772.743.600;5.548.139.816.181.600;3.2;38.390.671.488.455.800;6.155.068.010.811.900
Ronaldmouth;;;;
7.179.585.832.907.000;7.997.290.565.269.060;6.45;4.977.319.509.195.990;15.334.927.965.596.500
"APO AE 38092-8628""";;;;
6.967.659.651.466.620;5.893.543.734.231.530;3.14;3.172.736.438.329.270;12.399.400.421.668.000
Hullchester;;;;
5.581.556.872.386.790;6.002.938.215.194.690;2.35;4.296.176.419.705.310;13.084.652.400.430.000
Jamesmouth;;;;
713.325.530.261.133;4.565.155.297.878.950;4.04;49.628.414.708.432.500;14.308.134.128.906.200
North Timothy;;;;
6.195.117.043.520.190;7.438.633.339.680.420;5.43;3.152.127.570.993.930;9.434.042.390.412.580
South Sherrymouth;;;;
578.556.913.556.536;65.683.659.282.107.800;4.06;40.581.759.316.414.200;9.384.207.845.610.040
West Vincentton;;;;
6.670.607.453.415.790;7.890.367.052.773.300;5.13;3.898.104.402.857.770;12.063.931.814.995.200
Lake Patrickton;;;;
54.890.103.297.334.900;5.532.091.954.777.570;2.03;32.642.037.437.205.100;48.139.164.332.196.700
Jacksonview;;;;
61.666.499.426.085.000;8.138.369.526.379.550;3.17;24.865.985.052.801.700;11.446.418.194.544.400
"APO AP 52492""";;;;
754.354.242.464.136;6.890.146.149.477.800;3.46;2.263.748.513.636.610;10.286.364.228.705.100
Jessicahaven;;;;
6.168.299.948.209.920;628.861.141.774.087;4.38;2.967.403.236.466.940;856.931.528.435.322
"APO AP 12105-8095""";;;;
6.821.128.951.492.180;69.701.271.790.462.800;4.28;4.080.898.878.367.950;17.425.660.060.480.100
"FPO AE 81056""";;;;
7.528.244.801.220.150;7.484.608.382.778.580;5.36;28.385.502.531.882.300;16.171.149.439.703.700
New Lisa;;;;
6.714.375.045.404.140;7.877.533.794.064.610;3.06;3.271.566.073.852.650;136.402.916.836.528
Greenemouth;;;;
6.897.410.287.044.390;6.807.937.553.680.110;3.13;31.832.992.620.286.900;17.025.260.563.464.800
New Daniel;;;;
6.984.523.818.676.020;773.660.601.876.359;6.1;3.701.402.103.852.550;13.751.053.459.220.500
West Kathyland;;;;
7.447.554.480.684.510;78.838.404.109.137.800;5.23;21.149.007.248.334.700;11.747.791.577.615.500
Kimberlystad;;;;
7.021.969.037.020.470;760.949.936.079.191;5.01;28.553.815.483.090.300;11.267.784.143.052.900
Kendraberg;;;;
64.455.779.102.362.400;7.425.795.787.843.700;6.14;29.066.217.805.677.400;10.957.276.725.883.600
"DPO AP 46231-3142""";;;;
4.294.013.893.924.210;7.812.724.696.454.190;6.36;4.570.911.709.038.720;6.804.187.240.122.690
Andersonport;;;;
6.649.083.326.926.130;79.511.565.369.174;5.46;3.365.009.383.688.290;15.067.987.549.083.100
Courtneyside;;;;
64.261.828.557.026.700;66.128.303.392.464.700;2.22;4.119.054.636.639.400;11.859.356.413.659.600
Port Johnport;;;;
8.520.742.505.484.930;7.345.307.870.554.340;5.31;40.946.070.845.634.700;20.241.214.614.732.300
East Edwardside;;;;
7.626.809.273.870.150;900.204.487.922.386;6.1;2.597.889.523.115.850;15.628.426.380.946.600
Port Nathanberg;;;;
6.991.844.185.504.260;831.098.646.322.819;4.13;54.346.752.338.161.900;18.510.654.968.777.600
Morrisonview;;;;
511.448.509.024.324;6.701.869.130.753.760;3.03;18.277.601.364.263.100;287.307.583.688.923
"FPO AA 52720""";;;;
7.258.325.333.779.280;5.773.618.813.540.480;4.49;21.768.321.045.524.800;9.682.805.181.238.230
South Franklin;;;;
5.818.206.086.980.350;7.871.996.502.854.690;5.29;17.668.951.982.222.400;8.800.847.004.478.720
"DPO AE 91428-7915""";;;;
8.595.249.315.726.100;706.625.423.647.963;6.2;24.222.470.910.847.800;1.685.368.164.225.050
"FPO AP 65688""";;;;
798.017.573.419.712;55.197.174.379.044.100;2.39;33.579.913.298.205.100;1.169.547.521.182.790
Fergusonfurt;;;;
6.792.260.482.540.920;7.370.992.683.488.400;3.2;3.544.792.120.877.330;1.613.814.875.491.530
East David;;;;
4.606.275.426.645.580;62.153.359.573.554.100;2.45;28.288.332.491.739.900;6.759.196.815.570.830
East Markstad;;;;
8.365.866.099.329.710;6.690.874.867.550.760;4.47;4.264.786.966.470.510;16.886.426.785.448.300
West Mark;;;;
58.299.826.026.031.300;7.002.685.868.780.180;4.03;3.167.526.753.243.410;8.684.352.750.090.390
Jamesfurt;;;;
62.342.847.183.548.100;4.666.259.583.423.820;2.47;3.801.037.273.874.920;823.941.922.058.669
West Angelchester;;;;
44.328.256.296.674.200;6.813.808.755.116.970;2.06;20.820.241.369.108.800;6.010.073.511.604.660
West Rachaelfurt;;;;
7.347.093.316.196.680;6.169.214.911.001.620;3.47;3.285.550.569.847.980;11.449.012.657.931.200
Christophermouth;;;;
6.443.810.915.284.170;6.464.967.335.827.230;4.43;405.389.612.390.412;1.069.827.806.639.150
Fergusonland;;;;
5.451.663.198.443.460;4.321.938.664.394.210;2.32;51.298.950.399.695.900;9.444.910.395.552.130
Lake Michaelhaven;;;;
7.418.250.577.479.280;7.224.551.565.626.550;3.14;14.659.994.260.598.000;7.907.213.677.899.040
Yeseniamouth;;;;
4.380.029.196.776.500;6.990.744.746.311.180;2.17;341.849.658.712.033;8.094.867.099.279.490
Danielmouth;;;;
5.070.315.291.580.100;7.784.817.857.005.380;4.49;26.324.207.865.358.000;7.433.933.473.414.250
"DPO AE 91759""";;;;
8.172.160.582.464.490;5.855.901.209.512.550;4.44;40.454.818.945.325.100;1.130.293.596.703.480
"FPO AE 92072""";;;;
7.445.544.202.761.630;6.986.395.020.095.960;4.5;6.244.997.384.770.630;18.670.505.361.289.800
Abigailfort;;;;
61.634.035.799.475.500;6.867.792.807.698.820;3.49;4.685.747.026.580.250;10.435.486.091.084.000
"APO AA 07023-3790""";;;;
4.763.419.217.587.550;6.784.131.098.589.760;3.25;51.505.711.676.194.000;6.461.982.245.230.610
North Sherry;;;;
8.109.323.149.851.200;6.564.980.961.717.440;2.4;3.847.312.773.303.770;16.564.018.371.527.600
Mejiafort;;;;
50.571.406.468.382.800;7.946.493.040.717.700;6.12;4.091.330.482.956.170;12.145.631.502.187.700
Pattersonburgh;;;;
6.979.954.988.199.930;66.411.086.640.052.500;4.46;17.217.216.816.055.300;5.783.962.214.702.780
Powellland;;;;
8.095.509.233.606.700;6.511.389.510.892.270;3.28;29.431.806.865.560.500;13.446.515.738.711.900
West Bradley;;;;
9.931.782.314.540.030;718.272.143.989.145;6.03;50.350.352.291.575.600;2.219.724.161.793.010
Solomonside;;;;
5.351.024.434.608.430;5.615.798.050.279.660;2.45;229.779.153.850.924;5.656.805.528.071.540
Hollyborough;;;;
777.555.397.025.914;6.891.789.698.771.350;4.36;2.223.928.397.940.700;10.919.286.155.307.400
Port Cindy;;;;
677.261.929.175.895;8.416.413.547.253.160;6.37;3.715.873.837.338.530;12.297.029.483.640.600
North Donald;;;;
46.135.247.863.282.200;7.303.474.997.433.380;3.47;3.923.222.491.374.680;615.144.898.641.351
West Brenda;;;;
7.708.965.366.239.870;6.265.592.475.541.740;4.38;4.674.088.671.770.910;146.923.720.519.252
Lake Michaelside;;;;
888.504.760.205.459;61.591.829.595.976.900;2.38;26.565.334.333.757.900;12.052.122.919.847.100
West Angela;;;;
61.828.032.560.712.600;703.545.074.603.493;6.24;4.306.822.880.607.520;1.377.430.072.170.320
South Jennifershire;;;;
7.055.346.367.319.790;5.938.542.334.943.190;4.38;4.353.829.596.993.260;103.738.257.710.349
"DPO AP 47652-4784""";;;;
6.522.010.451.505.500;7.455.660.643.246.210;4.0;22.585.236.196.049.700;10.738.570.687.590.700
East Christinastad;;;;
77.932.566.395.061;7.123.306.886.815.670;3.41;29.085.135.788.889.400;14.480.812.511.719.700
Michelleville;;;;
5.434.115.380.186.990;7.157.119.845.486.320;4.19;3.054.221.225.256.060;43.743.613.820.319.800
Butlermouth;;;;
7.085.039.991.983.790;4.209.620.425.081.930;2.14;33.845.646.949.606.300;9.529.122.012.461.230
East Kevin;;;;
6.848.291.036.241.820;7.536.690.958.782.810;4.26;37.366.859.804.248.600;1.123.991.977.280.770
East Jasonmouth;;;;
670.063.622.043.569;9.295.531.206.925.390;6.38;3.465.379.810.206.650;14.408.974.124.288.600
Aguirrefurt;;;;
8.194.122.295.995.660;7.381.076.691.308.110;6.16;4.176.685.755.640.790;1.648.201.727.904.930
Lake Peggy;;;;
7.171.786.935.173.170;7.620.690.943.446.190;3.08;2.752.495.593.334.140;1.390.990.849.092.230
Lake Sandra;;;;
8.016.891.114.950.620;79.059.839.920.312.700;6.23;24.833.298.575.147.100;14.064.376.853.738.800
Joeville;;;;
7.304.732.581.289.770;75.186.361.170.370.600;6.04;4.705.345.906.375.070;17.038.802.199.140.800
Mcdonaldshire;;;;
7.618.684.721.788.080;7.470.557.508.244.500;5.02;3.082.990.595.343.380;15.534.593.644.835.500
West Davidton;;;;
50.764.673.432.888.000;7.383.725.367.011.400;3.13;33.577.084.811.911.300;8.725.950.930.335.790
Derekfurt;;;;
7.255.136.975.553.580;5.613.834.274.098.300;4.48;3.974.006.393.651.000;10.303.249.189.220.000
South Lawrence;;;;
5.998.113.398.432.260;6.852.802.030.382.860;2.35;4.962.038.256.844.280;11.941.136.937.494.300
New Kimberly;;;;
7.452.114.052.175.250;7.731.463.232.879.210;6.14;26.251.872.171.103.700;9.781.036.192.464.150
East Jacquelineberg;;;;
7.785.331.613.109.170;7.115.080.038.971.230;3.02;3.803.107.263.998.280;12.241.866.959.259.900
Port Riley;;;;
7.168.409.548.729.460;7.521.449.210.760.660;5.17;24.555.336.678.762.100;10.628.778.829.939.000
Port Anthonyport;;;;
7.622.356.125.578.330;534.221.715.799.716;2.42;30.165.337.445.241.300;10.239.437.751.242.300
South Michelle;;;;
51.654.280.097.417.500;8.791.272.320.444.160;4.3;2.819.761.821.933.660;8.345.999.392.319.450
Andersonview;;;;
60.717.398.272.177.400;5.303.686.665.501.510;4.11;42.891.598.943.905.000;596.350.350.685.955
Charlesfort;;;;
6.941.361.339.912.710;53.729.922.955.211.900;4.39;4.372.251.676.103.990;5.781.424.703.379.880
Loganberg;;;;
7.852.952.767.925.680;7.634.761.678.250.540;5.2;238.971.162.723.556;15.780.871.391.040.900
Samanthatown;;;;
7.135.077.627.682.300;8.787.965.083.446.280;4.38;29.207.160.287.746.700;12.850.986.907.913.600
Kimberlyburgh;;;;
702.505.687.540.925;8.106.738.766.248.900;6.16;352.713.646.376.237;15.202.637.556.412.700
Lake Kevin;;;;
54.725.202.867.294.300;7.222.152.718.460.930;5.15;26.993.357.243.311.800;722.115.124.273.698
Port Ethanshire;;;;
6.850.832.406.170.740;7.151.596.571.238.370;6.23;2.529.040.993.618.510;1.085.103.002.972.050
New Ninaberg;;;;
6.678.916.180.590.060;6.783.346.705.648.630;4.47;3.573.532.371.072.190;10.370.330.386.214.200
South Joseph;;;;
6.208.747.464.302.020;813.509.842.119.802;6.13;43.013.796.482.758.200;13.162.062.465.540.900
Johnsonburgh;;;;
7.734.547.237.854.100;824.317.847.671.157;3.11;2.670.691.102.886.770;113.706.930.717.901
Rhodesstad;;;;
5.201.816.461.922.330;7.834.925.574.921.210;4.07;60.742.634.865.191.300;12.486.896.011.870.900
"APO AP 60226-2255""";;;;
879.169.096.240.168;6.916.735.341.654.250;2.31;32.697.878.814.456.800;19.396.031.309.040.100
Brandonton;;;;
4.471.018.346.370.040;8.951.344.400.797.240;4.06;5.658.441.380.499.560;10.488.006.512.755.300
"DPO AE 85868-3124""";;;;
4.404.845.668.792.340;8.217.176.714.471.990;5.49;4.094.259.400.869.640;10.282.751.039.295.300
New Lori;;;;
6.420.150.317.212.450;5.220.126.531.775.320;3.42;23.252.164.588.899.400;6.426.464.389.558.510
East Johnmouth;;;;
8.077.857.350.255.570;68.225.028.716.602.900;3.15;42.462.028.411.185.400;18.122.091.366.168.200
Lisahaven;;;;
5.440.707.784.962.700;7.423.947.630.561.420;3.3;36.707.941.633.054.900;11.399.599.327.416.200
"FPO AE 84650""";;;;
7.059.415.766.407.140;6.844.712.273.897.290;2.04;5.560.104.893.730.760;16.735.381.686.839.600
West Patrickport;;;;
6.635.788.016.990.160;7.028.679.218.100.340;5.02;395.759.794.662.358;1.324.845.863.270.570
Michaelport;;;;
6.214.169.860.532.570;6.063.680.473.400.780;4.01;3.746.383.647.584.920;9.167.176.046.638.160
South Robin;;;;
8.377.454.329.686.380;9.652.003.929.163.410;4.23;3.713.079.684.731.860;2.115.010.703.597.600
South Nina;;;;
39.777.606.906.208.400;7.147.718.742.073.830;3.16;3.872.542.430.316.140;6.960.144.677.148.870
East Chaseland;;;;
8.308.806.960.074.400;8.725.138.632.870.550;5.17;40.564.638.813.344.200;20.213.107.918.598.800
North Thomasborough;;;;
5.258.868.364.521.330;50.530.658.891.736.800;2.49;3.293.835.564.468.040;25.318.570.150.858.100
North Sarahmouth;;;;
5.781.879.941.066.570;6.051.938.963.481.710;4.37;3.798.418.798.184.640;911.247.817.023.832
Barberville;;;;
8.146.286.286.286.420;7.065.028.291.858.230;4.02;31.484.955.107.610.300;15.732.888.176.012.800
Burnsmouth;;;;
7.458.437.391.690.220;6.414.774.565.326.260;3.36;4.637.274.504.343.560;14.633.834.866.829.700
Isabellafort;;;;
6.744.513.841.020.400;74.869.037.940.445.300;3.24;36.419.170.691.457.900;13.668.542.405.065.300
Michaelburgh;;;;
61.660.272.288.795.300;6.262.991.666.012.860;3.12;5.029.135.994.935.800;13.479.043.953.006.900
Port Breannaside;;;;
74.405.372.570.768;5.546.842.196.035.340;2.43;2.830.492.386.190.230;9.133.970.868.819.000
Moniqueport;;;;
7.107.479.940.728.460;7.290.495.553.164.350;5.28;44.214.493.636.411.800;16.134.142.330.507.200
"FPO AA 27566""";;;;
7.786.451.480.385.870;6.929.686.494.751.390;3.4;2.520.042.394.520.400;9.285.638.215.523.720
Jamesmouth;;;;
7.069.237.298.794.960;77.634.536.540.400.100;4.36;31.027.505.829.300.200;9.946.544.094.247.860
Maciasburgh;;;;
7.275.056.472.715.380;7.308.664.006.081.310;3.3;4.513.465.342.367.840;14.341.442.608.724.600
Boyleburgh;;;;
7.648.358.550.912.980;5.458.379.948.588.000;2.01;5.473.792.663.560.870;13.827.873.245.131.200
Caldwellside;;;;
7.440.169.918.132.530;54.164.102.732.636.900;2.16;26.015.383.837.737.100;9.625.916.565.767.030
Leeport;;;;
5.937.844.837.955.440;7.085.086.291.180.760;3.34;4.330.635.041.882.620;13.735.285.581.959.200
Christopherbury;;;;
8.469.177.031.334.620;76.240.947.237.631.100;5.19;222.167.872.138.108;15.586.398.810.308.000
Thompsonville;;;;
6.683.230.744.829.750;5.793.589.811.958.590;2.08;41.344.520.604.024.200;15.338.158.823.021.600
West Matthew;;;;
819.478.383.197.255;61.229.088.183.623.900;2.41;43.487.577.119.863.100;17.917.712.892.400.300
Deborahberg;;;;
6.834.225.967.172.420;7.459.323.350.468.400;5.27;3.453.072.763.209.260;12.749.836.480.731.400
West Scottland;;;;
5.294.173.085.156.480;67.187.193.079.202.800;4.02;5.429.476.621.180.720;11.764.379.189.888.700
South Anne;;;;
817.857.126.551.188;68.478.542.156.745.600;3.17;5.671.206.901.590.770;1.530.172.524.842.180
New Brettside;;;;
9.449.438.434.905.300;6.700.315.713.179.890;3.12;31.307.521.496.904.400;18.258.582.550.705.300
North Kennethton;;;;
6.817.740.477.257.090;5.625.555.163.742.820;3.48;23.835.286.449.180.700;9.745.999.587.641.740
South Chelsea;;;;
6.589.344.773.400.540;6.665.318.115.218.200;4.1;2.817.379.002.176.350;856.261.615.200.036
South Angela;;;;
7.179.386.826.126.350;74.223.047.516.577.700;6.08;5.327.279.246.915.350;19.035.330.843.493.900
East Dalton;;;;
9.086.487.746.126.460;7.345.925.208.364.570;5.01;3.918.303.227.726.850;16.296.405.300.674.900
West Michael;;;;
6.203.498.064.113.200;7.878.756.751.025.510;4.29;2.919.400.406.742.970;1.192.672.333.818.040
Leeside;;;;
75.545.627.325.119;5.929.137.507.838.830;4.26;32.614.317.743.676.200;1.068.856.226.748.250
Port Bethview;;;;
7.485.273.537.989.280;8.433.007.791.166.270;6.29;2.612.066.089.407.070;15.358.448.961.570.100
Vincentville;;;;
6.230.311.301.782.890;8.454.274.609.002.010;3.05;33.711.724.840.987;10.331.553.294.570.000
New Matthew;;;;
7.148.103.492.571.930;7.152.361.080.584.610;4.32;4.524.617.410.290.090;15.300.134.488.713.200
"DPO AA 39196-7180""";;;;
8.048.487.001.402.770;5.771.422.322.397.380;2.3;2.807.697.938.356.450;1.131.225.759.703.260
West Jennifermouth;;;;
8.443.167.330.507.900;7.793.078.979.101.660;3.27;26.124.407.157.525.300;1.347.225.944.669.630
Vasquezbury;;;;
5.570.735.382.268.430;6.756.375.841.880.500;4.25;2.258.857.753.839.540;6.767.387.155.452.120
West Brooke;;;;
8.102.301.749.248.440;5.656.993.706.465.870;2.36;3.050.164.781.892.760;1.437.755.771.785.720
New Christopher;;;;
7.246.608.059.392.820;5.670.832.930.480.920;2.01;12.113.114.740.200.600;7.447.419.092.512.460
Millerport;;;;
7.166.329.801.005.660;6.710.290.607.680.120;2.02;35.315.030.352.393.600;12.306.289.859.625.200
Floresburgh;;;;
8.188.160.722.942.600;8.952.151.663.583.700;4.49;62.340.640.003.792.400;19.761.700.894.339.300
East Darlene;;;;
854.804.372.843.538;518.456.892.281.346;4.19;4.750.880.533.994.490;10.338.646.352.881.900
Port Billy;;;;
63.753.864.240.259.600;7.694.744.788.921.250;6.35;313.476.897.841.708;15.585.722.432.714.600
New Meganshire;;;;
56.935.329.957.326.400;6.234.253.208.739.390;4.19;32.965.935.286.347.000;8.491.808.459.937.090
Anthonyland;;;;
6.651.388.444.791.960;8.044.496.680.112.670;4.49;5.727.485.885.269.860;7.176.615.560.232.050
Port Audrey;;;;
7.255.453.595.200.950;6.822.376.992.342.060;4.09;3.624.940.582.648.550;11.870.909.480.935.700
Marshalltown;;;;
6.995.675.188.256.100;78.607.184.924.892.500;3.17;3.514.816.490.979.570;13.269.467.250.139.400
"FPO AP 25685-4457""";;;;
6.512.670.304.965.050;7.316.436.478.746.630;4.05;47.258.759.925.437.100;12.457.850.509.590.900
Port Charles;;;;
7.127.084.203.333.050;7.691.914.338.668.770;6.28;40.130.807.938.360.900;13.318.974.568.409.500
West Micheal;;;;
